Feature Set,Model,CV MAE,Test MAE,Test RMSE,Test R2,Max Error
base_snb,ElasticNet,0.93765957325608,0.9676912692913213,2.0972259818371315,0.6533997778650338,8.030333886357745
base_snb,Ridge,0.9115467301995386,0.9700825441526728,2.088228068639815,0.6563674967174804,8.033646585639715
base_snb,SVR,0.9925314544005527,1.0553977455957009,2.418456224044931,0.5390913705577884,9.798346075306267
base_anb,SVR,1.0201884670719226,1.1382922470897268,2.381367994219169,0.5531195016634021,9.50014761982349
full_regularized,SVR,1.109582893966398,1.195153011264472,2.533881834923192,0.49404592960175553,10.148578104060295
full_regularized,Ridge,0.9689593489498809,1.2539470191810742,2.4385950163506442,0.5313833212159025,9.373883823551822
base_anb,Ridge,0.9497865004358967,1.2895561639804263,2.4176729147132208,0.5393898879008732,9.185688690759815
full_regularized,ElasticNet,0.9595227867635531,1.2930171881333936,2.4810460799861356,0.5149259534267479,9.4620993402757
base_anb,ElasticNet,0.9550785107319214,1.3041361882368134,2.47740158174729,0.5163499923369603,9.410930324975215
base_anb,GradientBoosting,1.1544762369749124,1.3482545360030147,2.6428337696295796,0.4496004465016159,10.38453159153477
full_regularized,GradientBoosting,1.1751045136014298,1.3826647220012247,2.8239976096218484,0.37155535861702804,11.314500750923902
base_snb,GradientBoosting,1.1916313638675051,1.4073255898279564,2.853158048291287,0.358509783409823,11.283779786198831
